Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
LTR/Gypsy	Gypsy-49_GR-I	13182	533	248	103	759114	1.19
LTR/Gypsy	Gypsy-4_AIp-I	No_ref_available	2	2	0	139	0.00
LTR/Gypsy	Gypsy-4_GR-I	9438	227	103	44	254520	0.40
LTR/Gypsy	Gypsy-4_PX-I	No_ref_available	2	2	0	118	0.00
LTR/Gypsy	Gypsy-50_GR-I	2750	563	289	208	400514	0.63
LTR/Gypsy	Gypsy-51_GR-I	2144	1059	418	227	1329126	2.08
LTR/Gypsy	Gypsy-52_GR-I	10644	433	326	268	704901	1.10
LTR/Gypsy	Gypsy-53_GR-I	8544	121	69	42	95865	0.15
LTR/Gypsy	Gypsy-54_GR-I	9725	534	464	52	255504	0.40
LTR/Gypsy	Gypsy-55_GR-I	2661	953	656	602	537684	0.84
LTR/Gypsy	Gypsy-56_GR-I	2707	1036	668	644	577558	0.90
LTR/Gypsy	Gypsy-57_GR-I	17568	925	403	134	809046	1.27
LTR/Gypsy	Gypsy-58_GR-I	1422	95	54	29	94689	0.15
LTR/Gypsy	Gypsy-59_GR-I	1245	636	373	165	596363	0.93
LTR/Gypsy	Gypsy-5_ECa-I	No_ref_available	11	9	0	3298	0.01
LTR/Gypsy	Gypsy-5_GR-I	9816	308	236	138	174464	0.27
LTR/Gypsy	Gypsy-60_GR-I	8132	12	5	1	23169	0.04
LTR/Gypsy	Gypsy-68_MN-I	No_ref_available	1	1	0	58	0.00
LTR/Gypsy	Gypsy-6_AIp-I	No_ref_available	1	1	0	92	0.00
LTR/Gypsy	Gypsy-6_ATr-I	No_ref_available	1	1	0	291	0.00
LTR/Gypsy	Gypsy-6_CP-I	No_ref_available	1	1	0	117	0.00
LTR/Gypsy	Gypsy-6_Cia-I	No_ref_available	4	4	0	290	0.00
LTR/Gypsy	Gypsy-6_GR-I	6166	5	4	0	15214	0.02
LTR/Gypsy	Gypsy-6_PPe-I	No_ref_available	1	1	0	41	0.00
LTR/Gypsy	Gypsy-6_PX-I	No_ref_available	2	1	0	91	0.00
LTR/Gypsy	Gypsy-6_TC-I	No_ref_available	28	17	0	7059	0.01
LTR/Gypsy	Gypsy-71_MN-I	No_ref_available	1	1	0	182	0.00
LTR/Gypsy	Gypsy-76_NS-I	No_ref_available	18	15	0	1757	0.00
LTR/Gypsy	Gypsy-7_ECa-I	No_ref_available	11	11	0	3037	0.00
LTR/Gypsy	Gypsy-7_GR-I	594	20	12	8	14965	0.02
LTR/Gypsy	Gypsy-7_ST-I	No_ref_available	6	2	0	6135	0.01
LTR/Gypsy	Gypsy-7_TC-I	No_ref_available	37	33	0	6911	0.01
LTR/Gypsy	Gypsy-86_GM-I	No_ref_available	1	1	0	114	0.00
LTR/Gypsy	Gypsy-8_GR-I	2561	114	72	57	135332	0.21
LTR/Gypsy	Gypsy-8_JC-I	No_ref_available	5	4	0	546	0.00
LTR/Gypsy	Gypsy-8_NS-I	No_ref_available	2	2	0	486	0.00
LTR/Gypsy	Gypsy-8_PX-I	No_ref_available	57	27	0	57181	0.09
LTR/Gypsy	Gypsy-9_GR-I	17504	455	202	81	499969	0.78
LTR/Gypsy	Gypsy-9_Mad-I	No_ref_available	1	1	0	41	0.00
LTR/Gypsy	Gypsy-9_RC-I	No_ref_available	2	2	0	100	0.00
LTR/Gypsy	Gypsy1-PTR_I-int	No_ref_available	9	6	0	3304	0.01
LTR/Gypsy	Gypsy21-PTR_I-int	No_ref_available	1	1	0	41	0.00
LTR/Gypsy	MEGY-I_MT	No_ref_available	4	4	0	173	0.00
LTR/Gypsy	OGRE-I_PS	No_ref_available	1	1	0	121	0.00
LTR/Gypsy	Ogre-PT1_I-int	No_ref_available	1	1	0	115	0.00
LTR/Gypsy	Ogre-PT2_I-int	No_ref_available	2	2	0	641	0.00
LTR/Gypsy	Ogre-PT3_I-int	No_ref_available	31	27	0	1723	0.00
LTR/Gypsy	Ogre-VP1_I-int	No_ref_available	2	2	0	80	0.00
LTR/Gypsy	RIRE8A_I-int	No_ref_available	1	1	0	39	0.00
LTR/Gypsy	RLG_scDEL_1_2-I	No_ref_available	2	2	0	160	0.00
###LTR/Gypsy	All_elements	NA	24323	14135	7735	19044097	29.8115

######Type:LTR	All_elements	NA	28547	16640	8670	23134497	36.2146

######Type:Unknown	All_elements	NA			NA		0.0000

#########Type:EVERYTHING_TE	All_elements	NA	30258	17705	NA	24890089	38.9627

